ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2024-09-02
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_DISPONIBILIDADES;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202401;PB;5366;CAMPINA GRANDE;00000000;BCO DO BRASIL S.A.;7;7;19437278;19389851;47427;0;0;698623;455280310;343380;454848515;88415;1360180666;723484621;44021423;103031347;2;282002942;462085;207192456;-14208;0;0;0;308872;0;1835905749;189389306;581191233;382675810;0;382675810;0;629080154;0;629080154;15936109;15936109;1190;6749848;6749849;16978577;0;13903523;21482547;-7579024;1835905749;2504009
202401;PB;5366;CAMPINA GRANDE;00360305;CAIXA ECONOMICA FEDERAL;3;3;6978311;6978311;0;0;0;0;-1446113680;1240399;1399237;-1448753316;2946364155;412430491;1060201;27947807;0;2614814971;11748263;0;-121637579;0;0;0;12759039;0;1519987825;54270742;983452303;120548557;0;120548557;0;1639977;23830;1616146;0;0;0;231644;231644;347723904;0;12120699;25891692;-13770994;1519987825;2504009
202401;PB;5366;CAMPINA GRANDE;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;570638;570638;0;0;0;0;30350;0;0;30350;89660845;71165030;18113734;0;0;0;0;382082;0;0;0;0;5426;0;90267259;23465411;8693064;31300468;0;31300468;0;22627176;0;22627176;0;0;0;3990;3990;1858569;0;2318580;3341666;-1023085;90267259;2504009
202401;PB;5366;CAMPINA GRANDE;60701190;ITAÚ UNIBANCO S.A.;2;2;3700696;3700696;0;0;0;0;189108018;0;189108018;0;190298179;189633255;2203984;0;0;0;0;0;-1539060;0;0;0;1214;1083;383109190;8633423;119237663;252063482;0;252063482;0;871388;0;871388;0;0;0;-5419;-5419;32892;0;2275761;5673323;-3397562;383109190;2504009
202401;PB;5366;CAMPINA GRANDE;60746948;BCO BRADESCO S.A.;3;3;18173768;18173768;0;0;0;0;681827299;0;681040080;787219;28455452;18252732;0;10200047;0;0;0;2673;0;0;0;0;0;0;728456519;56991609;228882181;355286786;0;355286786;0;24884227;0;24884227;0;0;0;0;0;60482983;0;1928733;2571120;-642386;728456519;2504009
202401;PB;5366;CAMPINA GRANDE;90400888;BCO SANTANDER (BRASIL) S.A.;4;4;2234787;2234787;0;0;0;6745625;91284755;0;79227378;12057377;222316768;233295409;36483652;580508;0;0;0;977028;-49019829;0;0;0;0;0;322581935;10203082;48541173;173138393;0;173138393;0;34537616;0;34537617;0;0;0;77633;77633;53828370;0;2255669;7144816;-4889147;322581935;2504009
202401;PB;23166;PATOS;00000000;BCO DO BRASIL S.A.;1;1;3687792;3687792;0;0;0;0;17169739;56067;15537058;1576615;341524849;182003353;5234542;6378773;2;112741091;17675;35149414;0;0;0;0;74812;0;362457193;52064601;129875018;59182761;0;59182761;0;112135739;0;112135739;0;0;599;1756764;1756764;3552579;0;3889134;5429297;-1540163;362457193;2510808
202401;PB;23166;PATOS;00360305;CAIXA ECONOMICA FEDERAL;2;2;4706132;4706132;0;0;0;0;-128873762;951606;618750;-130444117;529588968;168290041;1660951;1549916;0;362517077;2396117;14488999;-21314132;0;0;0;571463;0;405992801;21817986;292043388;25555864;0;25555864;0;474872;4160;470712;8851967;8851967;0;131635;131634;53758098;0;3358993;6430226;-3071233;405992801;2510808
202401;PB;23166;PATOS;07237373;BCO DO NORDESTE DO BRASIL S.A.;1;1;626790;626790;0;0;0;0;3219;0;0;3219;21032945;15977752;4912230;0;0;0;0;142963;0;0;0;0;1347;0;21664302;9656004;3743216;3961625;0;3961625;0;3364918;0;3364918;0;0;0;3672;3672;589384;0;345482;902512;-557030;21664302;2510808
202401;PB;23166;PATOS;60701190;ITAÚ UNIBANCO S.A.;1;1;910886;910886;0;0;0;0;130481;0;130481;0;17878643;17743890;358133;0;0;0;0;35132;-258512;0;0;0;0;542;18920552;979491;7792792;9320280;0;9320280;0;31000;0;31000;0;0;0;834;834;553052;0;243102;615740;-372638;18920552;2510808
202401;PB;23166;PATOS;60746948;BCO BRADESCO S.A.;1;1;6482961;6482961;0;0;0;0;132788103;0;132649303;138800;5739948;4042055;0;1697894;0;0;0;0;0;0;0;0;0;0;145011013;13558240;60125966;56344385;0;56344385;0;7314794;0;7314794;0;0;0;0;0;7009205;0;658422;843131;-184709;145011013;2510808
